"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Salam #AKUINDONESIA !!! Semangat !",FALSE,33,NA,2015-04-02 13:56:13,FALSE,NA,"583629008526385153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",18,FALSE,FALSE,NA,NA
"2","ELLino Edie - Live @Matrix Tv http://t.co/JZzWXdMhRx",FALSE,16,NA,2015-04-02 11:30:06,FALSE,NA,"583592234798358529",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",2,FALSE,FALSE,NA,NA
"3","#SEMOGAYOGAMASUKSORGA",FALSE,208,NA,2015-04-02 02:05:22,FALSE,NA,"583450115886559232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",194,FALSE,FALSE,NA,NA
"4","Aku merasa orangtermiskin didunia, yang penuh derita bermandikan airmata, itulah diriku,kita jauh berbeda kau orang kaya aku orang tak punya",FALSE,97,NA,2015-04-02 01:30:47,FALSE,NA,"583441413100019712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",99,FALSE,FALSE,NA,NA
"5","10. Bukan datang hilang hape, hilang hape masuk Tv,, masyaallah?",FALSE,61,NA,2015-04-02 01:13:32,FALSE,NA,"583437074595848194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",36,FALSE,FALSE,NA,NA
"6","9. Jangan malu2in,, baru pertama kehilangan hape ya? Makanya jgn bawa hape ke keramaian, pergi bawa doa pulang dapat hape.",FALSE,61,NA,2015-04-02 01:12:50,FALSE,NA,"583436897113903104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",37,FALSE,FALSE,NA,NA
"7","8. Sayangilah persahabatan, bukan sayangi hartamu,,",FALSE,43,NA,2015-04-02 01:11:40,FALSE,NA,"583436604087246848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",35,FALSE,FALSE,NA,NA
"8","7. Kalo teman olga, ikhlasin aja,,,kali aja hp nya ikut kekubur juga,",FALSE,59,NA,2015-04-02 01:11:01,FALSE,NA,"583436441008504832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",37,FALSE,FALSE,NA,NA
"9","6. Besok-besok kalo ada kedukaan hati hati didatangin jupe, ntar hilang hp, berabe deh kite",FALSE,43,NA,2015-04-02 01:10:21,FALSE,NA,"583436270413553664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",36,FALSE,FALSE,NA,NA
"10","5. Kalo jupe yg datang ke mesjid gue, gue ganti hp nya plus gue tambah 1 lagi hp cadangan, biar dia gak bawel &amp; heboh.",FALSE,47,NA,2015-04-02 01:09:35,FALSE,NA,"583436077043556352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",58,FALSE,FALSE,NA,NA
"11","4. Kalo gue yg ngelayat, walau hilang cincin berlian gue diam2 aja tuh, dengan gak sengaja itukan malu2in keluarga yg meninggal.",FALSE,53,NA,2015-04-02 01:08:33,FALSE,NA,"583435818531885057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",47,FALSE,FALSE,NA,NA
"12","3. Nyawa aja hilang orang wajib ikhlas, ini cuma HP ributnya minta ampun, jangan jangan cuma lupa nyimpannya.",FALSE,45,NA,2015-04-02 01:07:08,FALSE,NA,"583435462464765953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",53,FALSE,FALSE,NA,NA
"13","2. Gaptek amat sih, kan walau hp hilang beli aja yg baru, otomatis data hp muncul lagi.",FALSE,43,NA,2015-04-02 01:06:13,FALSE,NA,"583435229588619264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",35,FALSE,FALSE,NA,NA
"14","1. Saran gue buat artis super heboh jupe kalo kehilangan HP jangan teriak2 aja, sana ke kantor polisi buat laporan.",FALSE,58,NA,2015-04-02 01:05:26,FALSE,NA,"583435036126355457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",82,FALSE,FALSE,NA,NA
"15","Positif,Negatif, Iklan Gratis ( Gretong ) http://t.co/YUqWwMSrEt",FALSE,69,NA,2015-04-01 23:18:28,FALSE,NA,"583408115598503936",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",22,FALSE,FALSE,NA,NA
"16","#SEMOGAYOGAMASUKSORGA http://t.co/ifVrT4qK5C",FALSE,292,NA,2015-04-01 23:15:25,FALSE,NA,"583407348296712192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",313,FALSE,FALSE,NA,NA
"17","Bencong selalu membela bencong.",FALSE,82,NA,2015-04-01 22:23:35,FALSE,NA,"583394302950187008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",47,FALSE,FALSE,NA,NA
"18","Saat begal kedapatan begal dibunuh dan dibakar , tak ada yg menangis &amp; mengaku,,, sekarang ngomong sayangilah mayat, plin plan",FALSE,23,NA,2015-04-01 22:23:07,FALSE,NA,"583394186323341312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",28,FALSE,FALSE,NA,NA
"19","Ingat ustadz, semua uang yg kau pungut saat syi'ar islam suatu saat akan ditagih umat.",FALSE,39,NA,2015-04-01 22:21:58,FALSE,NA,"583393895494451200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",56,FALSE,FALSE,NA,NA
"20","Kemarin ustadz ini bilang agar jaga hidup dg baik agar gak dihina saat mati, hari ini dia bilang jangan menghina orang mati karena berdosa.",FALSE,36,NA,2015-04-01 22:19:23,FALSE,NA,"583393245960380416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",46,FALSE,FALSE,NA,NA
"21","Kita gak usah lagi ngomongin orang yg udah meninggal, kita ngomongin ustadz yg masih hidup aja, ustadz kontrakan, ustadz bayaran,",FALSE,57,NA,2015-04-01 22:17:39,FALSE,NA,"583392808033099776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",50,FALSE,FALSE,NA,NA
"22","@deviena26 gak percaya ama ustadz bayaran.",FALSE,17,"deviena26",2015-04-01 22:12:59,FALSE,"583391357185589248","583391637771980801","1056510540","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",6,FALSE,FALSE,NA,NA
"23","@yuliani498 kamu betul, hari ini saya lebih cepat 5 menit sholat subuhnya dari waktu adzan mesjid dekat rumah,",FALSE,20,"yuliani498",2015-04-01 22:11:34,FALSE,"583389381848797185","583391278043238400","1866318356","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",3,FALSE,FALSE,NA,NA
"24","@JRjanuardi kapan gue nulis nama nia, nia nya aja yg pengen dompleng",FALSE,24,"JRjanuardi",2015-04-01 22:09:18,FALSE,"583389275921620992","583390710583296000","110383912","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",5,FALSE,FALSE,NA,NA
"25","Rakyat yg diikutsertakan dalam naik turun harga bbm,sama aja mengangkat rakyat jd menteri tapi gaji &amp; jabatan serta kehidupan tetap melarat",FALSE,36,NA,2015-04-01 21:58:15,FALSE,NA,"583387929717841920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",42,FALSE,FALSE,NA,NA
"26","Islam yg bahagia itu yang sholat subuh sepanjang hidupnya, sampai dia disholatin nanti.",FALSE,53,NA,2015-04-01 21:55:22,FALSE,NA,"583387201666359297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",66,FALSE,FALSE,NA,NA
"27","Manusia belum menemukan kunci membuat alam semesta menyatu baik ruang maupun waktu.",FALSE,42,NA,2015-04-01 21:51:48,FALSE,NA,"583386303674261504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",77,FALSE,FALSE,NA,NA
"28","@karinaririn #SEMOGAYOGAMASUKSORGA",FALSE,22,"karinaririn",2015-04-01 21:11:26,FALSE,"583375679158288384","583376148085637120","112703127","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",5,FALSE,FALSE,NA,NA
"29","Saat tahu &amp; mendekati kematian, mulailah mereka menangis,ketakutan, menyadari arti keluarga,teman, waktu, sehat, harta &amp; segalanya.",FALSE,45,NA,2015-04-01 21:10:29,FALSE,NA,"583375907106082816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",50,FALSE,FALSE,NA,NA
"30","RT #SEMOGAYOGAMASUKSORGA",FALSE,60,NA,2015-04-01 16:35:51,FALSE,NA,"583306791326380032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",55,FALSE,FALSE,NA,NA
"31","Sialan nih, si Tara ngejek gue cari uang http://t.co/mrJDV76N1q gue jadiin satpam nih dayang2 sorga, digaji pakai uang fitnahnya itu.",FALSE,96,NA,2015-04-01 16:31:52,FALSE,NA,"583305790942916608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",67,FALSE,FALSE,NA,NA
"32","#SEMOGAYOGAMASUKSORGA AMIN YRA",FALSE,59,NA,2015-04-01 16:22:01,FALSE,NA,"583303310435745792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",43,FALSE,FALSE,NA,NA
"33","Mulai sekarang jangan panggil dia OLGA lagi, tapi panggil dia  ""SORGA""  semoga YOGA Masuk SORGA,,AMIN #SEMOGAYOGAMASUKSORGA",FALSE,87,NA,2015-04-01 16:21:41,FALSE,NA,"583303226193149952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",91,FALSE,FALSE,NA,NA
"34","@sangkolongmerat @hajilul woy",FALSE,28,"sikolongmerat",2015-04-01 16:18:21,FALSE,"583301644768579584","583302387290394625","1357605013","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",3,FALSE,FALSE,NA,NA
"35","Mulai sekarang jangan panggil OLGA lagi, tapi panggil dia  ""SORGA""  semoga YOGA Masuk SORGA,,AMIN ( Do'ain ya,, amin )",FALSE,67,NA,2015-04-01 16:16:31,FALSE,NA,"583301929012359168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",54,FALSE,FALSE,NA,NA
"36","Mulai sekarang jangan panggil dia OLGA lagi, tapi panggil dia  ""SORGA""  semoga YOGA Masuk SORGA,,AMIN",FALSE,53,NA,2015-04-01 16:13:52,FALSE,NA,"583301259840507904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",67,FALSE,FALSE,NA,NA
"37","Lsm HajarIndonesia menolak eksekusi mati terpidana yg sudah bertobat &amp; dipenjara lama. http://t.co/pFGINd2rHD",FALSE,21,NA,2015-04-01 16:08:15,FALSE,NA,"583299847312158720",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","farhatabbaslaw",9,FALSE,FALSE,NA,NA
"38","@hajilul WWWW pak haji,,",FALSE,32,"hajilul",2015-04-01 15:02:41,FALSE,"583283135833505792","583283346618204162","1443054200","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",4,FALSE,FALSE,NA,NA
"39","Jangan sembunyikan dosa dibalik kematianmu. Hidup pendosa matipun berdosa. #AKUINDONESIA #lsmhajarindonesia",FALSE,37,NA,2015-04-01 14:15:51,FALSE,NA,"583271563237019648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",36,FALSE,FALSE,NA,NA
"40","Hidup bencong, matinya mencong.",FALSE,97,NA,2015-04-01 14:15:35,FALSE,NA,"583271493150248960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",67,FALSE,FALSE,NA,NA
"41","Waspada! Aliran sesat baru,, aliran alay ha ha ha",FALSE,88,NA,2015-04-01 11:40:21,FALSE,NA,"583232429554470912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",93,FALSE,FALSE,NA,NA
"42","Setan tetap hidup walau sudah dikubur.",FALSE,81,NA,2015-04-01 11:31:28,FALSE,NA,"583230194212700160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",76,FALSE,FALSE,NA,NA
"43","Yang marah paling alay &amp; sebangsanya.",FALSE,34,NA,2015-04-01 11:31:02,FALSE,NA,"583230085370548224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",22,FALSE,FALSE,NA,NA
"44","Manfaat ikut ospek ( orientasi pengenalan kampua ) membuat kita matang &amp; tahan banting. Bukan karena gila ! He he",FALSE,32,NA,2015-04-01 11:25:57,FALSE,NA,"583228804518166528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",14,FALSE,FALSE,NA,NA
"45","Si ondel-ondel gak perlu kompres2an, bilang aja gini "" ondel2 farhat yg mana? Farhatkan banyak isterinya"" ? Seperti yg gue tuduh2 selama ini",FALSE,31,NA,2015-04-01 11:24:30,FALSE,NA,"583228438628052993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",9,FALSE,FALSE,NA,NA
"46","Hidup &amp; matinyapun dibuat ribet, harus nunggu 7 harinyalah,, inilah, itulah,, gak kapok kapok.",FALSE,52,NA,2015-04-01 11:18:38,FALSE,NA,"583226963935932417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",42,FALSE,FALSE,NA,NA
"47","Para alay itu memang jahat mulut &amp; kelakuannya.",FALSE,42,NA,2015-04-01 11:07:06,FALSE,NA,"583224062555525120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhatabbaslaw",49,FALSE,FALSE,NA,NA
